#Frame      Dih_00161,#Frame      Dih_00162,#Frame      Dih_00163,#Frame      Dih_00164,#Frame      Dih_00165
       1     -25.8200,       1      -3.1660,       1      28.4225,       1     -47.6178,       1      45.9982
       2       6.0944,       2     -25.0203,       2      32.0372,       2     -30.9768,       2      15.9731
       3      12.3821,       3     -35.9320,       3      42.4246,       3     -37.1177,       3      15.2900
       4       1.6477,       4     -23.6176,       4      33.4606,       4     -34.9273,       4      21.3113
       5       2.1379,       5     -20.9479,       5      30.4993,       5     -31.2642,       5      18.3887
       6       8.4418,       6     -30.3468,       6      37.8817,       6     -36.0589,       6      17.7945
       7      -9.8017,       7     -17.3377,       7      34.9126,       7     -40.7650,       7      32.6544
       8      -8.1094,       8     -17.6782,       8      33.2928,       8     -36.9781,       8      30.1985
       9     -20.2091,       9      -6.1464,       9      26.1867,       9     -37.8104,       9      38.8350
      10      -1.0080,      10     -17.3753,      10      29.1358,      10     -30.2632,      10      18.9496
      11      -0.8769,      11     -14.1795,      11      22.4856,      11     -23.7052,      11      16.1267
      12      -7.2787,      12     -18.0456,      12      34.3834,      12     -39.8431,      12      30.5036
      13     -13.8992,      13     -10.1222,      13      28.9547,      13     -36.0158,      13      33.4183
      14     -11.4701,      14     -10.7383,      14      26.3725,      14     -33.5474,      14      29.7880
      15      -1.4335,      15     -14.4641,      15      24.7925,      15     -26.2783,      15      16.0131
      16     -16.1876,      16      -5.6198,      16      23.1355,      16     -30.6364,      16      32.0376
      17      -0.2516,      17     -19.7567,      17      30.0677,      17     -32.5856,      17      20.4948
      18      -9.0465,      18     -13.7157,      18      29.0241,      18     -37.1003,      18      28.9103
      19      -6.8813,      19      -9.8933,      19      21.0868,      19     -26.6211,      19      21.2256
      20      -5.2725,      20     -11.3984,      20      22.1500,      20     -24.8672,      20      18.5580
      21      -4.1724,      21     -13.4053,      21      23.0522,      21     -26.5102,      21      20.4543
      22      -8.6984,      22      -8.7975,      22      21.7824,      22     -27.6151,      22      22.6569
      23     -19.0011,      23      -5.3259,      23      25.3991,      23     -36.2574,      23      34.1259
      24       1.2357,      24     -19.7071,      24      30.4576,      24     -30.8914,      24      17.9009
      25      -0.9433,      25     -16.0268,      25      25.6858,      25     -26.9510,      25      17.5616
      26       0.8681,      26     -22.5535,      26      32.2966,      26     -34.7775,      26      22.2807
      27      -2.7603,      27     -14.1350,      27      24.8372,      27     -28.5110,      27      18.5345
      28      -7.9090,      28      -8.7836,      28      21.5916,      28     -26.9131,      28      21.8790
      29      -7.1224,      29     -16.0468,      29      30.5575,      29     -36.3400,      29      28.3401
      30      -4.6318,      30     -13.8206,      30      25.2358,      30     -27.5800,      30      21.1143
      31      10.7049,      31     -29.2367,      31      33.4628,      31     -28.7010,      31      12.2189
      32      -0.3297,      32     -23.0162,      32      33.6613,      32     -34.6072,      32      23.5512
      33      -3.9709,      33     -11.7219,      33      22.1650,      33     -24.7434,      33      18.4621
      34      -6.4533,      34      -9.6489,      34      19.6565,      34     -25.1650,      34      20.4708
      35      -0.5682,      35     -13.9117,      35      21.9810,      35     -23.4895,      35      15.1727
      36     -12.1645,      36     -11.6716,      36      27.8390,      36     -37.3107,      36      32.6243
      37     -21.5418,      37      -4.3002,      37      25.3049,      37     -41.8677,      37      42.6378
      38      -6.0588,      38     -16.9818,      38      29.0948,      38     -37.5477,      38      28.3799
      39      -9.1557,      39      -5.5146,      39      16.3499,      39     -22.9679,      39      20.4910
      40      -9.3966,      40     -17.5828,      40      34.9864,      40     -42.5719,      40      34.1873
      41      -3.3642,      41     -19.6461,      41      32.9426,      41     -35.9927,      41      26.0926
      42     -23.2354,      42       3.9765,      42      14.3612,      42     -30.6159,      42      34.1117
      43      -6.1106,      43     -15.8713,      43      29.8979,      43     -33.0671,      43      24.7749
      44     -21.2933,      44      -4.7043,      44      25.3195,      44     -37.6727,      44      37.7135
      45     -14.1671,      45       0.5791,      45      12.3731,      45     -21.9984,      45      22.9916
      46     -24.7167,      46       5.3299,      46      13.9090,      46     -31.2048,      46      34.6429
      47     -13.2259,      47      -6.3344,      47      22.1320,      47     -30.4121,      47      27.1338
      48      -7.4216,      48     -14.3046,      48      29.0138,      48     -32.6336,      48      24.2786
      49      -8.6332,      49     -13.2623,      49      27.1238,      49     -34.0031,      49      26.4934
      50     -18.2791,      50      -4.5353,      50      23.1861,      50     -34.5320,      50      34.5177
      51       4.8192,      51     -21.9090,      51      28.7843,      51     -26.5609,      51      13.9629
      52     -10.6927,      52     -11.7872,      52      27.8874,      52     -35.7736,      52      28.4033
      53       2.3831,      53     -17.0274,      53      23.1662,      53     -24.3076,      53      13.4310
      54      17.4754,      54     -23.8147,      54      21.9086,      54     -12.7024,      54      -3.0415
      55      -9.0619,      55     -10.0391,      55      24.0103,      55     -30.0685,      55      24.8838
      56      -5.7428,      56     -13.2215,      56      26.0245,      56     -30.4592,      56      22.5310
      57       8.8349,      57     -27.5823,      57      34.1279,      57     -31.7012,      57      14.9692
      58      -4.2128,      58     -18.2762,      58      31.7788,      58     -36.0153,      58      26.2168
      59      -6.3971,      59     -19.0469,      59      34.5984,      59     -41.9455,      59      29.4933
      60      -3.3314,      60     -19.5274,      60      32.5436,      60     -36.8672,      60      25.1060
      61      10.3581,      61     -27.4441,      61      32.9612,      61     -28.0689,      61      11.6971
      62       5.8654,      62     -32.2536,      62      41.1481,      62     -40.9856,      62      22.2133
      63     -11.7691,      63     -10.4162,      63      27.3567,      63     -35.1637,      63      29.8092
      64      -6.6914,      64     -16.2919,      64      31.1091,      64     -35.5805,      64      28.3621
      65      -5.6534,      65      -4.0254,      65      11.3300,      65     -15.2817,      65      12.8917
      66      -0.6623,      66     -17.4119,      66      25.1443,      66     -28.7329,      66      20.0482
      67      -7.5579,      67     -18.8119,      67      35.0602,      67     -37.7989,      67      30.1889
      68      -9.6941,      68      -6.7798,      68      18.5347,      68     -25.8479,      68      21.8323
      69       2.2375,      69     -20.9733,      69      28.9459,      69     -28.7000,      69      16.9811
      70      -9.3080,      70      -4.4768,      70      15.0797,      70     -20.7780,      70      19.4543
      71       8.8710,      71     -17.8004,      71      20.5252,      71     -16.4271,      71       4.6916
      72       1.0051,      72     -18.8202,      72      27.8124,      72     -28.0634,      72      18.1138
      73      -9.1848,      73     -15.0551,      73      30.1015,      73     -40.2478,      73      31.3619
      74       0.8212,      74     -21.4484,      74      31.4917,      74     -31.2664,      74      19.7669
      75       6.8517,      75     -20.5253,      75      24.1860,      75     -22.0760,      75       9.6138
      76      -0.2625,      76     -22.3481,      76      31.8871,      76     -33.1850,      76      22.5829
      77      -5.6420,      77     -19.1752,      77      35.9573,      77     -39.6793,      77      28.9250
      78       0.1490,      78     -12.7121,      78      18.9567,      78     -20.2610,      78      12.7679
      79     -11.0018,      79      -5.1236,      79      17.6974,      79     -25.9682,      79      23.4964
      80     -20.4000,      80      -9.1744,      80      32.3897,      80     -44.9045,      80      40.3423
      81       5.8326,      81     -22.8448,      81      30.6621,      81     -27.2961,      81      13.5200
      82      -5.7905,      82      -7.3577,      82      17.2382,      82     -21.2728,      82      17.1564
      83       6.2597,      83     -28.4433,      83      37.9847,      83     -35.4181,      83      19.0587
      84     -11.7339,      84     -11.5664,      84      29.1100,      84     -36.0060,      84      29.5191
      85     -15.3188,      85       0.7036,      85      13.2316,      85     -22.5658,      85      24.3602
      86      -2.9703,      86     -22.0700,      86      35.0116,      86     -37.7509,      86      26.4519
      87       6.1346,      87     -25.6362,      87      34.4138,      87     -32.1043,      87      16.7255
      88      -3.9184,      88     -18.3079,      88      30.9696,      88     -35.3051,      88      24.4920
      89      10.2688,      89     -31.0303,      89      38.2060,      89     -35.6805,      89      16.1661
      90      -2.8168,      90     -18.4145,      90      32.6223,      90     -36.6540,      90      23.8979
      91      12.5334,      91     -34.0313,      91      41.9800,      91     -38.1392,      91      15.7527
      92      -7.9565,      92     -17.6703,      92      33.7888,      92     -42.2818,      92      31.3438
      93       8.5925,      93     -29.3637,      93      37.5457,      93     -35.1540,      93      16.4046
      94      -1.7953,      94     -24.7946,      94      39.7311,      94     -45.4175,      94      29.4333
      95      -8.2185,      95     -17.1140,      95      35.1073,      95     -41.5173,      95      31.1672
      96      -4.2939,      96     -18.9034,      96      31.4038,      96     -32.2458,      96      24.5260
      97      -0.6205,      97     -21.5431,      97      31.9938,      97     -34.6259,      97      22.3590
      98      -0.1389,      98     -21.3866,      98      32.1555,      98     -35.4540,      98      21.4516
      99      13.8876,      99     -37.1576,      99      45.3836,      99     -39.7443,      99      17.2055
     100       3.7925,     100     -27.5552,     100      37.6496,     100     -36.1845,     100      21.3704
     101      14.0680,     101     -29.3797,     101      33.0250,     101     -24.7839,     101       7.5186
     102       5.2561,     102     -20.6718,     102      26.7011,     102     -25.7972,     102      13.1802
     103       5.7804,     103     -27.1341,     103      37.2997,     103     -36.4922,     103      18.8742
     104       1.4778,     104     -26.9663,     104      39.5655,     104     -40.5926,     104      25.1765
     105       7.6653,     105     -29.0956,     105      37.0911,     105     -35.6476,     105      18.5478
     106       9.4746,     106     -29.9700,     106      34.1535,     106     -31.2967,     106      14.6608
     107       0.7096,     107     -22.4730,     107      34.8253,     107     -35.0233,     107      21.7636
     108      13.9640,     108     -33.4967,     108      40.9449,     108     -35.4427,     108      12.7371
     109       5.9682,     109     -30.6487,     109      39.7216,     109     -37.2584,     109      20.6284
     110       2.9677,     110     -28.1729,     110      39.9233,     110     -37.8174,     110      22.4787
     111       0.8908,     111     -27.8674,     111      39.3746,     111     -42.1045,     111      26.2899
     112       8.3264,     112     -34.3048,     112      43.6274,     112     -39.9584,     112      20.6732
     113      -6.2264,     113     -19.0329,     113      34.6282,     113     -38.5415,     113      29.7901
     114       2.9275,     114     -20.3771,     114      28.3568,     114     -29.0406,     114      16.1971
