#Frame      Dih_00101,#Frame      Dih_00102,#Frame      Dih_00103,#Frame      Dih_00104,#Frame      Dih_00105
       1      10.8469,       1     -28.8941,       1      34.8499,       1     -30.6273,       1      12.5687
       2      21.0772,       2     -34.9749,       2      35.2066,       2     -24.1043,       2       2.1000
       3      -2.4426,       3     -12.1193,       3      20.9269,       3     -23.8543,       3      16.1296
       4       8.4069,       4     -26.3739,       4      34.7868,       4     -31.0889,       4      13.6831
       5      11.1166,       5     -25.5176,       5      31.1080,       5     -24.8615,       5       8.6561
       6       8.8485,       6     -32.1445,       6      40.6150,       6     -37.2929,       6      18.7274
       7       6.3964,       7     -27.2892,       7      34.5896,       7     -35.9526,       7      18.6101
       8       8.5262,       8     -30.1985,       8      37.8186,       8     -34.3998,       8      18.0346
       9      15.3704,       9     -32.0918,       9      35.2696,       9     -26.5948,       9       7.4139
      10      11.0603,      10     -26.2273,      10      31.7361,      10     -25.0959,      10       9.4601
      11      20.3456,      11     -35.0579,      11      32.3129,      11     -22.1151,      11       1.9755
      12      13.0924,      12     -26.6037,      12      31.8597,      12     -25.8694,      12       7.4386
      13       6.7353,      13     -27.2438,      13      33.9518,      13     -32.9520,      13      15.9104
      14      16.3366,      14     -38.3653,      14      43.3057,      14     -34.5727,      14      11.4042
      15       5.7953,      15     -28.3909,      15      36.8036,      15     -38.0645,      15      19.7108
      16       8.3580,      16     -29.0535,      16      37.4632,      16     -35.0187,      16      16.1000
      17      12.1193,      17     -34.1813,      17      42.4584,      17     -35.9588,      17      14.7697
      18      -6.3274,      18     -19.6178,      18      35.2898,      18     -40.4870,      18      30.6908
      19      10.7600,      19     -33.8534,      19      42.9099,      19     -36.1505,      19      16.7361
      20      15.2561,      20     -37.1209,      20      39.2697,      20     -31.0376,      20      11.0438
      21       9.7295,      21     -30.6252,      21      36.3207,      21     -32.3523,      21      14.8707
      22      12.3677,      22     -36.1500,      22      43.8271,      22     -39.1612,      22      17.0589
      23       8.6060,      23     -31.9046,      23      41.7570,      23     -36.7509,      23      18.1349
      24       9.2750,      24     -27.5549,      24      34.1408,      24     -28.7246,      24      13.0158
      25       5.3838,      25     -28.5119,      25      40.1311,      25     -38.4311,      25      22.0819
      26      -4.4812,      26     -19.8669,      26      35.2097,      26     -38.9722,      26      27.3825
      27      12.2364,      27     -33.5148,      27      38.4338,      27     -32.0746,      27      13.0713
      28      18.3511,      28     -37.2131,      28      42.3201,      28     -35.7671,      28      11.5360
      29      14.3454,      29     -33.7082,      29      38.8466,      29     -32.7617,      29      11.5789
      30      11.9508,      30     -34.1690,      30      39.1223,      30     -34.3764,      30      15.0519
      31       3.3639,      31     -29.8005,      31      43.0374,      31     -41.9362,      31      24.3486
      32       1.7667,      32     -21.2699,      32      31.8800,      32     -32.8491,      32      20.1088
      33       7.6805,      33     -33.9106,      33      45.0772,      33     -42.4307,      33      20.5124
      34      11.3584,      34     -35.5489,      34      46.0935,      34     -39.1656,      34      16.6489
      35       9.3381,      35     -31.0995,      35      38.6755,      35     -33.1275,      35      15.5953
      36      10.9850,      36     -35.3627,      36      45.2145,      36     -40.7038,      36      17.9674
      37       9.3849,      37     -31.6491,      37      40.1017,      37     -35.6638,      37      16.3932
      38       2.0232,      38     -28.3123,      38      41.3805,      38     -40.5855,      38      24.6103
      39       5.2815,      39     -29.5365,      39      40.2019,      39     -36.7940,      39      20.7911
      40       3.7080,      40     -28.4248,      40      40.1597,      40     -38.7797,      40      22.7850
      41      -0.5419,      41     -22.9773,      41      38.7156,      41     -37.9585,      41      24.5294
      42      -6.3768,      42     -20.8330,      42      37.6499,      42     -42.8139,      42      30.8642
      43      -1.1851,      43     -22.9859,      43      33.2715,      43     -37.6360,      43      24.6016
      44       0.6863,      44     -26.3948,      44      40.8748,      44     -41.3572,      44      24.4465
      45      -2.5764,      45     -22.6996,      45      35.9359,      45     -42.0629,      45      27.1898
      46       7.5597,      46     -28.1208,      46      34.0311,      46     -30.6293,      46      15.0037
      47      -7.0461,      47     -17.4528,      47      33.2497,      47     -42.6501,      47      29.6138
      48      -9.6779,      48     -17.4848,      48      35.9922,      48     -45.7419,      48      35.5791
      49      16.3199,      49     -30.7544,      49      32.6652,      49     -26.0811,      49       6.7643
      50      -3.8219,      50     -19.7978,      50      33.0958,      50     -36.8828,      50      26.2169
      51      -1.4276,      51     -21.7291,      51      34.5885,      51     -37.6484,      51      25.4499
      52       2.1501,      52     -27.5721,      52      42.4313,      52     -40.2471,      52      25.9912
      53       4.7345,      53     -29.3434,      53      40.8086,      53     -39.3363,      53      21.5895
      54       0.3570,      54     -33.2652,      54      47.9755,      54     -49.7864,      54      32.8684
      55       6.2131,      55     -32.0428,      55      46.3330,      55     -42.1250,      55      23.3917
      56       2.4282,      56     -27.5137,      56      40.1988,      56     -39.4550,      56      23.6595
      57     -11.5429,      57     -13.2860,      57      31.0298,      57     -37.4095,      57      31.4641
      58      -0.8108,      58     -19.4694,      58      29.1711,      58     -33.7690,      58      22.5698
      59      10.9955,      59     -27.6968,      59      32.1943,      59     -28.6756,      59      11.0859
      60       7.6409,      60     -27.0327,      60      32.6868,      60     -31.5633,      60      16.1938
      61       4.2011,      61     -21.0714,      61      29.7962,      61     -27.0481,      61      14.8564
      62       5.1681,      62     -31.5380,      62      41.6435,      62     -42.9027,      62      24.8935
      63      -0.5059,      63     -22.1273,      63      34.5289,      63     -38.0763,      63      23.8302
      64      -5.3478,      64     -15.3588,      64      28.1898,      64     -29.2270,      64      22.3900
      65       8.0205,      65     -36.0112,      65      45.4400,      65     -43.9024,      65      23.9943
      66      10.8778,      66     -33.3760,      66      41.6233,      66     -38.1693,      66      17.7383
      67      -9.7030,      67     -13.6660,      67      30.0333,      67     -35.0408,      67      28.0607
      68      13.9990,      68     -38.3600,      68      46.1299,      68     -38.6024,      68      16.8550
      69      13.7962,      69     -32.2550,      69      35.0727,      69     -29.7523,      69      10.1110
