#Frame      Dih_00011,#Frame      Dih_00012,#Frame      Dih_00013,#Frame      Dih_00014,#Frame      Dih_00015
       1     -41.3781,       1      33.0194,       1     -12.3116,       1     -11.8809,       1      34.1041
       2     -45.5801,       2      40.8990,       2     -19.4602,       2      -6.9450,       2      31.1266
       3     -35.8955,       3      23.7314,       3      -2.5459,       3     -20.7970,       3      37.6232
       4     -33.7149,       4      43.4263,       4     -34.2093,       4      14.7294,       4      12.3754
       5      -4.8496,       5      27.4997,       5     -38.4341,       5      38.5935,       5     -22.4262
       6     -33.8707,       6      36.0062,       6     -25.5937,       6       5.7854,       6      18.0257
       7     -24.3781,       7      32.3271,       7     -28.0333,       7      15.3518,       7       5.9816
       8     -37.3989,       8      39.2741,       8     -25.6718,       8       8.5444,       8      17.0727
       9     -18.4557,       9      28.9525,       9     -26.9199,       9      18.0947,       9       0.1039
      10     -19.4337,      10      29.8253,      10     -27.6686,      10      15.1953,      10       2.6263
      11     -33.3784,      11      31.6791,      11     -15.4224,      11      -3.8488,      11      23.1053
      12     -34.8557,      12      40.6476,      12     -27.4375,      12       7.4539,      12      16.5892
      13     -30.8535,      13      33.9191,      13     -24.1702,      13       6.7526,      13      14.9836
      14     -12.1912,      14      21.8839,      14     -21.0504,      14      13.8280,      14      -1.1387
      15     -32.3157,      15      36.7044,      15     -25.4738,      15       7.5565,      15      16.1740
      16     -20.5837,      16      23.7505,      16     -16.7556,      16       5.6601,      16       9.0036
      17     -43.7055,      17      44.6290,      17     -28.0643,      17       3.5454,      17      26.2434
      18     -13.5044,      18      27.3244,      18     -29.6947,      18      22.5933,      18      -5.6585
      19     -13.7684,      19      28.3575,      19     -29.4347,      19      22.6343,      19      -6.2507
      20     -21.9044,      20      33.8224,      20     -31.6726,      20      20.6233,      20       0.3920
      21     -11.9666,      21      29.6322,      21     -34.0100,      21      28.1838,      21     -10.2541
      22     -24.2959,      22      36.1055,      22     -36.0551,      22      21.8547,      22       1.5498
      23     -18.8855,      23      34.6192,      23     -35.0726,      23      26.4645,      23      -5.2615
      24     -18.2289,      24      33.4868,      24     -36.0296,      24      28.0974,      24      -6.2718
      25     -27.0223,      25      36.1142,      25     -31.4989,      25      18.1461,      25       6.0504
      26     -36.0429,      26      44.0046,      26     -29.9035,      26      10.9309,      26      17.1251
      27     -16.3294,      27      30.2229,      27     -31.5574,      27      24.0301,      27      -5.1242
      28     -39.7279,      28      39.6026,      28     -25.3272,      28       2.9864,      28      22.5414
      29     -34.0946,      29      41.8012,      29     -33.3478,      29      13.9439,      29      10.7628
      30     -19.1695,      30      28.9059,      30     -25.8530,      30      16.5247,      30       1.3284
      31     -37.1440,      31      36.3748,      31     -21.6950,      31       1.6454,      31      22.1900
      32     -28.2513,      32      36.1811,      32     -27.1928,      32       9.8198,      32      12.3056
      33     -24.2948,      33      30.7566,      33     -25.9456,      33      12.7134,      33       6.8248
      34     -14.5365,      34      20.7533,      34     -18.7684,      34      12.2169,      34       1.1426
      35     -15.1620,      35      26.6680,      35     -26.1848,      35      19.3651,      35      -2.6691
      36     -31.2298,      36      44.8502,      36     -40.4867,      36      19.9534,      36       6.8390
      37     -25.4095,      37      35.9802,      37     -32.9426,      37      20.4484,      37       2.5590
      38     -19.2589,      38      35.5093,      38     -34.9659,      38      26.2364,      38      -4.7054
      39      -9.5181,      39      26.9684,      39     -32.3587,      39      27.1371,      39     -11.9566
      40     -21.4746,      40      36.3816,      40     -36.7940,      40      25.4360,      40      -2.0349
      41     -35.7271,      41      42.0810,      41     -31.7648,      41      13.4457,      41      12.8000
      42     -29.5988,      42      28.9135,      42     -17.9535,      42       1.2891,      42      16.8168
      43     -24.3498,      43      39.1626,      43     -36.6954,      43      24.2727,      43       0.2521
      44     -42.9035,      44      48.3679,      44     -32.1238,      44       8.5836,      44      21.3814
      45     -36.8757,      45      40.7439,      45     -29.9271,      45       9.7465,      45      16.6888
      46     -32.5110,      46      40.2939,      46     -30.9607,      46      14.2647,      46      11.4086
      47      -4.9758,      47      23.0212,      47     -28.2682,      47      27.5094,      47     -15.2606
      48     -35.2587,      48      31.9214,      48     -18.4202,      48      -2.0956,      48      24.4589
      49     -37.1896,      49      34.3074,      49     -17.9556,      49      -3.4838,      49      26.0980
      50     -34.2592,      50      27.6051,      50     -10.8165,      50      -8.9711,      50      27.1296
      51     -24.9271,      51      34.7931,      51     -29.9090,      51      17.4820,      51       3.5106
      52     -35.2582,      52      38.6860,      52     -27.6895,      52       8.7686,      52      16.6450
      53     -28.3041,      53      37.6353,      53     -30.9176,      53      14.5621,      53       8.3498
      54     -25.2471,      54      26.7354,      54     -16.0937,      54       1.8620,      54      14.4156
      55     -35.0746,      55      38.8848,      55     -26.8865,      55       7.5312,      55      16.6481
      56     -33.0552,      56      31.1103,      56     -17.7453,      56      -1.6820,      56      22.9286
      57     -39.1436,      57      37.2044,      57     -25.2591,      57       2.0306,      57      23.6667
      58     -25.7051,      58      29.7200,      58     -21.4421,      58       6.3697,      58      12.5667
      59     -24.9824,      59      35.6683,      59     -30.5200,      59      18.8270,      59       2.6634
      60     -34.9390,      60      42.0265,      60     -31.4754,      60      14.0290,      60      12.4261
      61     -38.6520,      61      35.1143,      61     -21.8269,      61       0.7119,      61      23.4391
      62     -46.8597,      62      45.7244,      62     -29.1613,      62       4.2839,      62      24.8130
      63     -32.4358,      63      38.0524,      63     -28.9784,      63      11.2665,      63      13.2977
      64     -40.7237,      64      30.5442,      64      -9.2028,      64     -15.0277,      64      34.6258
      65     -37.2651,      65      35.6541,      65     -18.9669,      65      -2.3042,      65      24.4575
      66     -39.6906,      66      40.7563,      66     -27.1366,      66       3.3360,      66      23.5601
      67     -31.5098,      67      26.0142,      67      -9.9495,      67     -10.0184,      67      27.2519
      68     -34.6612,      68      35.1961,      68     -20.5927,      68      -0.5042,      68      23.5078
      69     -32.5115,      69      29.8386,      69     -18.4807,      69       0.8262,      69      20.3445
      70     -39.0025,      70      44.1505,      70     -29.6060,      70      10.4443,      70      16.2205
      71     -39.8260,      71      47.5547,      71     -40.3629,      71      19.1962,      71      12.4235
      72     -24.7813,      72      34.7005,      72     -30.3113,      72      16.9956,      72       3.6302
      73     -31.0670,      73      28.0089,      73     -13.7388,      73      -4.0205,      73      21.9891
      74     -35.0510,      74      39.7439,      74     -26.2602,      74       6.3670,      74      17.5256
      75     -36.1874,      75      32.9672,      75     -14.6019,      75      -7.0325,      75      27.5563
      76     -30.2643,      76      35.3441,      76     -26.6328,      76      10.7176,      76      11.5809
      77     -46.0665,      77      36.1910,      77     -14.0131,      77     -12.4113,      77      37.0594
      78     -34.3171,      78      36.2096,      78     -27.8430,      78       7.1247,      78      18.0718
      79     -42.4639,      79      30.8545,      79      -8.7711,      79     -15.4439,      79      36.5493
      80     -40.0839,      80      42.4624,      80     -28.0167,      80       4.9919,      80      21.9207
      81     -30.3515,      81      34.2273,      81     -24.4759,      81       6.6348,      81      14.5012
      82     -47.3146,      82      37.9224,      82     -18.8566,      82      -8.6121,      82      34.7366
      83     -41.2985,      83      38.2901,      83     -23.7775,      83       0.4088,      83      27.1447
      84     -38.5318,      84      36.3559,      84     -20.0172,      84      -1.5456,      84      24.3092
      85     -39.5779,      85      43.2470,      85     -29.3659,      85       8.5352,      85      17.8213
      86     -30.0326,      86      43.8315,      86     -37.2611,      86      19.7532,      86       6.8794
      87     -38.9536,      87      41.5079,      87     -29.3466,      87       7.9689,      87      18.4797
      88     -39.2866,      88      37.8510,      88     -20.5494,      88      -3.2630,      88      28.0085
      89     -33.1635,      89      35.6582,      89     -25.9267,      89       9.1126,      89      14.5031
      90     -46.9539,      90      42.9437,      90     -27.0071,      90       1.5005,      90      25.7967
      91     -52.3820,      91      44.8615,      91     -20.6856,      91     -10.8942,      91      37.6190
      92     -33.9841,      92      37.0138,      92     -25.4322,      92       5.7826,      92      17.1729
      93     -36.6100,      93      48.0348,      93     -36.7250,      93      18.0192,      93      11.4408
      94     -44.5970,      94      40.0772,      94     -18.1136,      94      -7.7227,      94      33.4649
      95     -33.8488,      95      33.7883,      95     -18.1416,      95      -0.7948,      95      21.6373
      96     -49.7116,      96      42.1167,      96     -20.5097,      96      -7.1294,      96      35.4060
      97     -26.9030,      97      33.0729,      97     -25.4615,      97      11.8679,      97       8.7363
      98     -44.1260,      98      39.0020,      98     -18.7834,      98      -4.5441,      98      28.9038
      99     -27.2852,      99      29.8863,      99     -18.5421,      99       2.8738,      99      15.4377
     100     -17.6454,     100      38.5373,     100     -42.2879,     100      28.8569,     100      -9.1545
     101     -36.8980,     101      46.5149,     101     -38.0964,     101      18.1573,     101      10.8781
     102     -49.3619,     102      49.0419,     102     -31.0052,     102       1.9373,     102      32.3990
     103     -36.3113,     103      38.6280,     103     -26.3201,     103       6.2184,     103      18.8696
     104     -27.8272,     104      33.4371,     104     -25.6317,     104      10.5856,     104      10.1770
     105     -44.3035,     105      43.7185,     105     -29.1122,     105       5.8805,     105      24.3272
     106     -41.6181,     106      48.2001,     106     -37.2078,     106      15.4452,     106      15.4254
     107     -32.3949,     107       8.3598,     107      18.8595,     107     -40.2260,     107      47.2855
     108     -43.7225,     108      48.3088,     108     -33.7090,     108       8.2616,     108      22.4918
     109     -37.0615,     109      20.5261,     109       0.5057,     109     -20.0907,     109      35.2604
     110     -43.7765,     110      34.5926,     110     -14.8610,     110     -11.0266,     110      34.4033
     111     -42.3869,     111      39.9547,     111     -19.7550,     111      -3.9904,     111      28.8980
     112     -36.8886,     112      13.4771,     112      11.6344,     112     -34.8265,     112      46.7235
     113     -46.6777,     113      45.8529,     113     -27.6417,     113       1.6018,     113      28.2288
     114     -43.3960,     114      51.1858,     114     -34.7511,     114      10.3674,     114      21.5367
     115     -38.3658,     115      48.3921,     115     -34.9263,     115      13.6512,     115      16.5205
     116     -40.6454,     116      28.0360,     116      -6.5363,     116     -17.4304,     116      38.3874
     117     -40.2545,     117      40.5751,     117     -23.4705,     117      -1.7712,     117      28.8378
     118     -38.8455,     118      42.4511,     118     -31.3906,     118      12.4128,     118      16.1623
     119     -12.7469,     119      25.4780,     119     -27.7968,     119      21.2116,     119      -5.1278
     120      -2.1795,     120      19.4848,     120     -26.9022,     120      27.3862,     120     -15.7478
     121     -31.5657,     121      38.2477,     121     -32.1485,     121      15.8618,     121       9.4812
     122     -10.6244,     122      28.8144,     122     -35.0086,     122      29.5562,     122     -12.1831
     123      -4.9451,     123      22.3520,     123     -30.1084,     123      28.9134,     123     -15.9893
     124     -43.8079,     124      30.6682,     124      -5.8569,     124     -21.0189,     124      41.7730
     125     -34.2154,     125      27.2440,     125     -10.6871,     125      -9.9796,     125      28.8803
     126     -38.3570,     126      34.1975,     126     -19.1396,     126      -3.0468,     126      26.8800
     127     -18.2122,     127      34.0024,     127     -38.0630,     127      28.5686,     127      -6.4353
     128      -8.0158,     128      24.1669,     128     -28.8529,     128      26.6619,     128     -12.5965
     129     -30.8329,     129      35.1282,     129     -24.9406,     129       8.8819,     129      12.9130
     130     -14.1721,     130      32.6460,     130     -37.7965,     130      31.6222,     130     -11.4537
     131     -39.9560,     131      44.7393,     131     -30.8407,     131      10.9817,     131      16.9134
     132     -57.5966,     132      44.3926,     132     -15.2680,     132     -17.4092,     132      44.8199
     133     -18.3679,     133      22.4523,     133     -17.4876,     133       7.3447,     133       6.8901
     134     -30.3602,     134      35.3051,     134     -25.6128,     134       9.4891,     134      11.7320
     135     -28.6254,     135      29.6787,     135     -19.2206,     135       4.0548,     135      14.5016
     136     -27.5621,     136      33.6230,     136     -27.6402,     136      13.6485,     136       8.1827
     137     -29.6480,     137      49.9793,     137     -44.3621,     137      27.6041,     137       2.7730
     138     -32.4853,     138      35.2269,     138     -20.7993,     138       0.3773,     138      20.2425
     139     -39.0823,     139      37.3019,     139     -17.3101,     139      -5.6858,     139      27.4443
     140     -28.5824,     140      26.0917,     140     -12.0729,     140      -5.0490,     140      20.2503
     141     -40.5085,     141      39.6013,     141     -20.5520,     141      -2.5021,     141      27.0106
     142     -41.0840,     142      37.8481,     142     -20.1082,     142      -4.6580,     142      28.8395
     143     -35.3420,     143      43.3644,     143     -35.2267,     143      15.2862,     143      12.1625
     144     -36.8418,     144      42.9569,     144     -33.5675,     144      13.3114,     144      13.5841
     145     -38.5928,     145      40.3486,     145     -24.8544,     145       5.1899,     145      20.7013
     146     -40.5570,     146      44.9696,     146     -32.5560,     146       9.2595,     146      21.2102
     147     -47.6806,     147      38.1056,     147     -15.0783,     147     -13.1892,     147      39.7752
     148     -45.0768,     148      34.5875,     148     -12.5953,     148     -12.5951,     148      36.9726
     149     -46.8898,     149      47.0875,     149     -28.4948,     149       2.5316,     149      27.9777
     150     -50.5813,     150      51.9413,     150     -33.5625,     150       5.0080,     150      29.6308
     151     -22.8718,     151      23.6027,     151     -14.6836,     151       1.8791,     151      12.6577
     152     -40.4196,     152      34.2792,     152     -15.2952,     152      -6.0109,     152      29.7050
     153     -36.7441,     153      41.8882,     153     -30.1157,     153       9.6501,     153      17.2231
     154     -42.7419,     154      51.6002,     154     -40.1221,     154      16.2161,     154      16.7543
     155     -33.6940,     155      41.4472,     155     -31.3112,     155      10.7834,     155      14.3914
     156     -31.7809,     156      39.2247,     156     -30.7680,     156      12.5390,     156      12.2517
     157     -45.2916,     157      56.5064,     157     -43.9685,     157      18.5563,     157      17.7759
     158     -41.8289,     158      35.3794,     158     -14.2967,     158     -10.7861,     158      33.8806
     159     -44.3064,     159      42.8617,     159     -26.7813,     159       2.3982,     159      26.1639
     160     -40.6371,     160      42.6774,     160     -29.0099,     160       6.4193,     160      20.7531
     161     -40.2785,     161      40.7473,     161     -24.8790,     161       1.7145,     161      25.0739
     162     -40.1723,     162      44.7859,     162     -34.3378,     162      13.4834,     162      16.2389
     163     -23.9804,     163      34.0900,     163     -30.5023,     163      17.7029,     163       3.6028
     164     -38.0390,     164      36.5882,     164     -20.7862,     164      -1.2154,     164      25.3302
     165     -37.4376,     165      46.2200,     165     -34.4594,     165      12.3442,     165      17.4585
     166     -40.6693,     166      52.6652,     166     -42.0441,     166      22.3240,     166      11.6674
     167     -32.6342,     167      31.7244,     167     -18.6545,     167       0.0200,     167      20.7959
     168     -37.3524,     168      34.0384,     168     -18.5975,     168      -2.7002,     168      25.7133
     169     -46.6614,     169      41.7609,     169     -22.5362,     169      -2.7592,     169      30.6008
     170     -16.5020,     170      28.0133,     170     -26.0856,     170      16.9149,     170      -0.2287
     171     -18.7748,     171      29.8432,     171     -31.3106,     171      22.6130,     171      -1.3147
     172     -40.6465,     172      45.0912,     172     -31.5891,     172       9.6818,     172      18.9621
     173     -41.9814,     173      43.9844,     173     -25.7847,     173       0.1706,     173      27.1962
     174     -39.2768,     174      39.6091,     174     -24.8095,     174       2.5371,     174      24.0018
     175     -31.4337,     175      43.1043,     175     -36.6949,     175      18.3831,     175       8.3727
     176     -16.3511,     176      34.7769,     176     -39.6010,     176      30.5214,     176      -9.1166
     177      -7.5377,     177      22.8497,     177     -28.7314,     177      25.1951,     177     -12.4068
     178     -24.6616,     178      39.7992,     178     -34.7373,     178      24.4284,     178       0.0159
     179     -33.3155,     179      36.4209,     179     -23.9716,     179       7.2464,     179      14.7272
     180     -36.9122,     180      42.7956,     180     -35.5109,     180      14.9160,     180      14.4960
     181     -29.9237,     181      30.3259,     181     -21.3049,     181       5.6450,     181      14.6759
     182     -40.2670,     182      46.5463,     182     -34.2013,     182      10.8871,     182      19.6119
     183     -33.5266,     183      42.9788,     183     -34.6330,     183      18.5106,     183       8.1609
     184     -37.2538,     184      41.0575,     184     -30.8949,     184      10.7223,     184      17.0358
     185     -43.0331,     185      41.4537,     185     -22.1141,     185      -2.2696,     185      29.6532
     186     -38.9629,     186      40.8730,     186     -25.2510,     186       2.6345,     186      22.2370
     187     -31.1758,     187      39.7023,     187     -30.1629,     187      12.9867,     187      11.5922
     188     -36.9590,     188      35.9044,     188     -18.6452,     188      -3.5368,     188      27.1695
     189     -38.6235,     189      47.3215,     189     -37.8663,     189      17.1870,     189      14.1481
     190     -31.0518,     190      40.6871,     190     -36.0597,     190      21.2889,     190       5.6763
     191     -47.9170,     191      50.4305,     191     -36.6953,     191       8.6198,     191      24.1571
     192     -26.6716,     192      42.2240,     192     -38.9334,     192      25.6547,     192      -0.0219
     193     -22.1804,     193      33.7200,     193     -30.5229,     193      19.5711,     193       0.8178
     194     -32.5110,     194      33.3069,     194     -23.9668,     194       6.0237,     194      17.4634
     195     -25.2222,     195      26.3377,     195     -17.7137,     195       4.7703,     195      12.4540
     196     -29.0097,     196      40.7913,     196     -32.5508,     196      18.9131,     196       5.3210
     197     -32.4360,     197      43.6843,     197     -36.6886,     197      18.9394,     197       9.4211
     198     -40.1673,     198      51.6310,     198     -38.6949,     198      17.0391,     198      14.3955
     199     -31.1028,     199      41.9277,     199     -36.1980,     199      19.4088,     199       7.5005
     200     -40.1155,     200      49.6141,     200     -38.8090,     200      17.1716,     200      14.4465
     201     -44.6455,     201      58.3257,     201     -42.2678,     201      19.7096,     201      14.7937
     202     -46.5864,     202      46.6325,     202     -27.8982,     202       2.8035,     202      26.7564
     203     -39.8449,     203      43.9863,     203     -32.5409,     203      10.6097,     203      17.6731
     204     -34.8739,     204      40.8023,     204     -32.0977,     204      11.6534,     204      15.3196
     205     -34.8035,     205      42.7729,     205     -32.5091,     205      14.0613,     205      13.1826
     206     -42.7862,     206      46.4057,     206     -34.6653,     206       9.1833,     206      21.1835
     207     -19.6935,     207      34.5734,     207     -34.0824,     207      24.0006,     207      -3.1625
     208     -26.5465,     208      40.7644,     208     -38.3335,     208      23.2725,     208       2.0066
     209     -24.9547,     209      39.3337,     209     -34.4727,     209      19.9086,     209       3.0927
     210     -19.0589,     210      24.2633,     210     -20.9560,     210      10.4080,     210       5.3452
     211     -35.9597,     211      31.7666,     211     -17.2616,     211      -2.7316,     211      24.5927
     212     -21.9321,     212      34.1946,     212     -30.0518,     212      16.5444,     212       3.1306
     213     -20.3126,     213      29.6123,     213     -27.4801,     213      17.1727,     213       2.2558
     214     -28.5208,     214      30.2762,     214     -20.6438,     214       6.5098,     214      13.1159
     215     -25.4355,     215      32.2661,     215     -25.0171,     215      11.3194,     215       9.6140
     216     -27.6749,     216      33.4040,     216     -26.5373,     216      11.4059,     216       9.8290
     217     -29.0792,     217      33.5000,     217     -25.6980,     217       9.7576,     217      12.8675
     218     -41.6296,     218      42.0063,     218     -26.3931,     218       2.7548,     218      24.4088
     219     -32.9041,     219      42.5180,     219     -35.4842,     219      15.7981,     219      12.1246
     220     -18.3317,     220      36.5057,     220     -37.9374,     220      28.1785,     220      -6.5360
