#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
      75       8.2182,      75     -34.0586,      75      45.3025,      75     -38.7384,      75      21.4268
      76      -0.0703,      76     -23.4678,      76      35.5112,      76     -38.3967,      76      24.9341
      77      16.7956,      77     -37.1638,      77      40.7933,      77     -29.9379,      77       8.8881
      78      14.4937,      78     -34.4607,      78      42.0004,      78     -32.7636,      78      11.7704
      79      -1.7825,      79     -24.9618,      79      42.0412,      79     -44.2708,      79      29.3090
      80      10.4592,      80     -31.0708,      80      39.6322,      80     -36.4848,      80      16.0826
      81      -5.9480,      81     -25.1712,      81      42.6902,      81     -50.3587,      81      34.5169
      82      10.0745,      82     -32.7825,      82      40.3501,      82     -36.6880,      82      16.7274
      83       5.0740,      83     -29.7792,      83      41.4024,      83     -39.6963,      83      23.5058
      84       5.9139,      84     -27.0631,      84      36.7192,      84     -33.0665,      84      18.0369
      85       8.3787,      85     -26.7778,      85      32.5264,      85     -29.5934,      85      13.1020
      86      -4.3843,      86     -20.6668,      86      34.2128,      86     -40.4596,      86      29.0165
      87       3.6042,      87     -26.2385,      87      37.6056,      87     -36.3737,      87      20.7488
      88       6.8074,      88     -30.5573,      88      41.1440,      88     -41.9554,      88      22.1337
      89      -0.2042,      89     -25.8633,      89      40.8915,      89     -42.4012,      89      26.3909
      90       8.6466,      90     -27.4204,      90      33.5399,      90     -28.6906,      90      13.4955
      91      16.7465,      91     -44.0445,      91      49.6434,      91     -44.1354,      91      18.1370
      92       0.6593,      92     -22.5855,      92      33.6322,      92     -33.0689,      92      20.5360
      93      14.3030,      93     -29.1311,      93      30.6608,      93     -22.2135,      93       5.5056
      94       0.8921,      94     -26.9325,      94      39.1272,      94     -40.8519,      94      24.7088
      95       2.8486,      95     -19.9718,      95      29.1157,      95     -28.0237,      95      15.5003
      96       5.8603,      96     -27.5936,      96      35.7605,      96     -34.9836,      96      19.1145
      97       2.9823,      97     -23.8693,      97      31.4710,      97     -31.5920,      97      18.3773
      98       5.9581,      98     -25.3801,      98      34.4603,      98     -33.9105,      98      18.1561
      99       7.4642,      99     -27.3308,      99      34.9634,      99     -31.9176,      99      15.6601
     100      13.9027,     100     -32.7181,     100      40.2658,     100     -32.6259,     100      12.4301
     101      -2.2462,     101     -19.0395,     101      30.9162,     101     -32.0805,     101      22.7329
     102      -2.3966,     102     -27.9964,     102      43.1783,     102     -46.4771,     102      32.5946
     103     -10.4000,     103     -12.0011,     103      27.9322,     103     -35.6155,     103      29.1570
     104       0.6383,     104     -20.6444,     104      30.9988,     104     -31.7606,     104      20.6298
     105      11.1197,     105     -31.2695,     105      36.3933,     105     -32.8488,     105      13.8905
     106      -3.0628,     106     -19.2323,     106      31.4993,     106     -36.7013,     106      25.1120
     107      13.9905,     107     -37.8204,     107      44.6537,     107     -38.3354,     107      16.5040
     108      10.2605,     108     -34.2881,     108      40.6848,     108     -37.9184,     108      18.6041
     109       6.3094,     109     -23.7975,     109      29.4936,     109     -28.4922,     109      15.1822
     110      16.7619,     110     -38.6454,     110      45.1018,     110     -38.1236,     110      12.2256
     111       9.5161,     111     -32.0541,     111      36.8708,     111     -34.6927,     111      16.4479
     112      -0.0462,     112     -21.4142,     112      32.6431,     112     -33.8475,     112      21.5032
     113      16.7655,     113     -36.0165,     113      38.7034,     113     -28.9948,     113       8.1579
     114       6.2822,     114     -29.9578,     114      39.7773,     114     -35.6676,     114      19.7377
     115      17.4987,     115     -32.0467,     115      33.6127,     115     -23.0830,     115       4.0378
     116      -5.7517,     116     -22.4518,     116      37.6659,     116     -41.5948,     116      30.8051
     117       2.2049,     117     -25.7890,     117      36.3023,     117     -39.0584,     117      23.4140
     118      10.2741,     118     -32.3841,     118      41.8347,     118     -36.1090,     118      16.5958
     119      13.2787,     119     -38.6461,     119      45.3432,     119     -39.5757,     119      17.8804
     120       6.1169,     120     -30.5566,     120      41.2561,     120     -39.0622,     120      21.0721
     121       2.8693,     121     -20.6149,     121      29.3275,     121     -30.4697,     121      16.7911
     122      -3.7871,     122     -20.9840,     122      37.1861,     122     -40.6836,     122      28.7193
     123      15.6864,     123     -34.9745,     123      39.1946,     123     -30.5805,     123      10.6259
     124       6.4391,     124     -28.1828,     124      37.5610,     124     -37.6465,     124      20.2260
     125      16.7161,     125     -40.4304,     125      45.6147,     125     -37.7776,     125      14.5708
     126      14.9794,     126     -38.5641,     126      45.8637,     126     -38.2262,     126      14.7113
     127      11.7267,     127     -29.4389,     127      37.9174,     127     -31.4752,     127      13.0545
     128       8.8446,     128     -31.3990,     128      38.4033,     128     -35.0979,     128      16.7518
     129       4.0787,     129     -25.8535,     129      35.2736,     129     -33.8203,     129      20.3219
     130       7.1805,     130     -34.0179,     130      45.4014,     130     -42.2037,     130      23.2496
     131       7.2132,     131     -29.1529,     131      36.3334,     131     -32.9467,     131      16.8189
     132       2.2965,     132     -31.1264,     132      44.3367,     132     -44.6558,     132      27.6430
     133      17.2723,     133     -31.1262,     133      30.3319,     133     -22.4002,     133       3.5060
     134     -16.7659,     134     -16.1482,     134      39.5064,     134     -49.6225,     134      41.5262
     135     -14.6632,     135     -16.2199,     135      37.1247,     135     -43.9952,     135      38.6054
     136      10.7760,     136     -29.6284,     136      36.1514,     136     -31.9332,     136      14.1197
     137       2.6528,     137     -27.9637,     137      40.8880,     137     -40.7952,     137      25.6505
     138      -6.6686,     138     -15.7549,     138      28.8358,     138     -36.4298,     138      28.6583
     139       5.1560,     139     -29.3069,     139      40.7945,     139     -38.3641,     139      22.0428
     140      -7.7375,     140     -19.1693,     140      36.9100,     140     -42.2700,     140      32.2448
     141     -15.6502,     141     -13.5605,     141      36.9230,     141     -46.1016,     141      38.7645
     142      10.2539,     142     -31.5063,     142      39.6886,     142     -35.4478,     142      16.5011
     143       4.2335,     143     -27.1091,     143      37.1161,     143     -37.2117,     143      21.5353
     144       3.9989,     144     -26.5293,     144      37.0803,     144     -37.4641,     144      22.5728
