#Frame      Dih_00076,#Frame      Dih_00077,#Frame      Dih_00078,#Frame      Dih_00079,#Frame      Dih_00080
       1     -35.9866,       1      38.6416,       1     -26.8749,       1       5.4451,       1      18.7637
       2     -39.0803,       2      39.0268,       2     -22.5690,       2       0.6615,       2      23.8007
       3     -43.7234,       3      44.0127,       3     -27.2543,       3       2.0322,       3      26.9016
       4     -31.7159,       4      38.6064,       4     -28.7896,       4       9.4352,       4      15.0033
       5     -20.4715,       5      30.5800,       5     -27.2165,       5      17.2925,       5       1.3151
       6     -34.2592,       6      36.2418,       6     -24.4455,       6       5.5753,       6      17.6843
       7     -29.7790,       7      39.5777,       7     -32.9593,       7      15.3623,       7       9.1019
       8     -40.3385,       8      34.5077,       8     -15.1776,       8      -8.2782,       8      30.5470
       9     -37.3508,       9      38.9667,       9     -26.2895,       9       6.1160,       9      19.3139
      10     -39.8349,      10      41.1254,      10     -24.8587,      10       1.2829,      10      24.7152
      11     -36.3941,      11      46.8334,      11     -37.5474,      11      15.4466,      11      13.5858
      12     -40.2446,      12      37.3973,      12     -22.2929,      12      -0.5308,      12      24.9462
      13     -41.7945,      13      41.5638,      13     -27.1997,      13       2.9602,      13      24.2335
      14     -34.0821,      14      44.8410,      14     -34.6338,      14      16.8481,      14      10.9446
      15     -47.5391,      15      34.6605,      15     -10.1440,      15     -16.8318,      15      42.7792
      16     -39.5342,      16      40.7381,      16     -25.9503,      16       6.6196,      16      19.6355
      17     -38.5496,      17      40.4149,      17     -25.9866,      17       4.4111,      17      20.5830
      18     -37.9186,      18      41.8979,      18     -27.1607,      18       6.6470,      18      19.6299
      19     -41.9346,      19      34.8244,      19     -15.9383,      19      -7.8507,      19      30.2517
      20     -34.6578,      20      47.6487,      20     -42.5406,      20      24.6014,      20       6.8902
      21     -43.9416,      21      50.7866,      21     -37.3133,      21      12.4509,      21      19.9510
      22     -40.6487,      22      45.2462,      22     -32.3677,      22       9.6348,      22      19.6573
      23     -35.5578,      23      32.5253,      23     -15.3376,      23      -4.3591,      23      22.6179
      24     -30.7429,      24      42.7910,      24     -40.5890,      24      23.8385,      24       4.9575
      25      -8.2420,      25      31.5791,      25     -39.7611,      25      39.1156,      25     -19.1451
      26     -33.0734,      26      39.3963,      26     -30.2201,      26       9.6887,      26      16.4860
      27     -17.7281,      27      28.8572,      27     -27.1197,      27      18.5974,      27      -0.7409
      28     -29.2020,      28      46.0347,      28     -47.5101,      28      30.2262,      28      -0.1936
      29     -18.7097,      29      32.6343,      29     -31.1220,      29      22.8793,      29      -3.5506
      30     -24.7326,      30      34.9788,      30     -32.6114,      30      18.5581,      30       3.3101
      31     -25.1444,      31      29.3245,      31     -21.0293,      31       7.4608,      31      11.5461
      32     -27.5601,      32      32.8321,      32     -25.1278,      32       9.8559,      32      10.9137
      33     -38.1469,      33      43.3178,      33     -30.8881,      33       9.8718,      33      18.6719
      34     -33.8929,      34      43.9182,      34     -34.6093,      34      17.5607,      34      10.0346
      35     -35.7975,      35      46.9520,      35     -43.9353,      35      23.6605,      35       8.7799
      36     -28.8384,      36      40.3674,      36     -34.1342,      36      20.9382,      36       3.8230
      37     -27.9045,      37      40.6276,      37     -35.0190,      37      22.3926,      37       3.4728
      38     -40.8045,      38      48.2967,      38     -34.3907,      38      12.6247,      38      16.9682
      39     -44.5060,      39      45.3429,      39     -29.4576,      39       6.0724,      39      23.7642
      40     -34.5829,      40      42.3946,      40     -31.4227,      40      13.5434,      40      11.9547
      41     -35.8779,      41      33.2247,      41     -17.1538,      41      -3.6201,      41      24.1068
      42     -38.7620,      42      41.9972,      42     -30.7743,      42       9.5409,      42      18.4528
      43     -40.3867,      43      44.6045,      43     -34.6741,      43      13.2047,      43      16.7116
      44     -35.0292,      44      44.1932,      44     -35.9038,      44      17.5563,      44      10.6551
      45     -30.8252,      45      44.9566,      45     -41.1825,      45      25.4041,      45       4.0565
      46     -30.8573,      46      45.0139,      46     -39.1205,      46      24.7491,      46       4.5907
      47     -35.9094,      47      35.6239,      47     -21.4957,      47       0.8487,      47      22.8336
      48     -30.7340,      48      25.2736,      48     -12.5665,      48      -5.5348,      48      23.6191
      49     -16.1852,      49      31.6606,      49     -32.1224,      49      24.3258,      49      -5.6343
      50     -32.0850,      50      39.2693,      50     -31.5224,      50      14.2791,      50      10.2192
      51     -27.7659,      51      24.0162,      51      -9.8669,      51      -6.8696,      51      21.5378
      52     -29.0034,      52      37.9216,      52     -33.0836,      52      17.4874,      52       7.3080
      53     -29.1456,      53      39.3804,      53     -33.9826,      53      18.0270,      53       6.8309
      54     -29.6527,      54      39.6946,      54     -31.9683,      54      17.8214,      54       6.8389
      55     -43.8407,      55      47.2756,      55     -37.9601,      55      12.9557,      55      19.0929
      56     -42.6851,      56      35.8264,      56     -15.3667,      56     -10.0549,      56      32.4544
      57     -36.5337,      57      31.6616,      57     -13.7166,      57      -8.6719,      57      29.2245
      58     -36.9129,      58      45.1715,      58     -36.1842,      58      16.0454,      58      11.4513
      59     -25.6775,      59      38.0201,      59     -31.2054,      59      19.6931,      59       3.7602
      60     -18.2532,      60      36.7239,      60     -39.6960,      60      32.4779,      60      -8.5837
