#Frame      Dih_00066,#Frame      Dih_00067,#Frame      Dih_00068,#Frame      Dih_00069,#Frame      Dih_00070
       1     -42.0867,       1      32.2017,       1     -10.4789,       1     -13.0902,       1      33.7212
       2     -32.7337,       2      37.2756,       2     -28.7408,       2      10.7846,       2      12.7360
       3     -16.2750,       3      25.3778,       3     -23.6082,       3      14.3481,       3       0.7075
       4     -26.7608,       4      41.9908,       4     -39.5334,       4      26.3807,       4      -0.1565
       5     -32.3493,       5      41.2032,       5     -32.5644,       5      15.3532,       5      10.3668
       6     -33.4398,       6      39.1277,       6     -30.5132,       6      13.7653,       6      12.8977
       7     -15.3620,       7      29.7336,       7     -30.3930,       7      24.7311,       7      -6.5195
       8     -15.3049,       8      28.1944,       8     -28.6983,       8      22.4609,       8      -4.3930
       9     -32.4918,       9      33.2650,       9     -21.4715,       9       3.4851,       9      18.7977
      10      -4.7643,      10      26.1501,      10     -36.1955,      10      35.6271,      10     -19.2301
      11     -12.8914,      11      26.6489,      11     -29.3280,      11      22.8518,      11      -6.6242
      12     -32.2135,      12      41.2063,      12     -35.3199,      12      16.6810,      12      10.4084
      13     -24.6602,      13      37.8266,      13     -34.9705,      13      23.9736,      13      -0.6254
      14     -24.9998,      14      38.3329,      14     -35.8683,      14      20.6815,      14       3.0429
      15     -14.9087,      15      25.9525,      15     -26.4273,      15      20.1791,      15      -4.0926
      16     -27.4640,      16      33.8709,      16     -26.2399,      16      11.2977,      16      10.3200
      17     -20.7719,      17      39.3373,      17     -42.0397,      17      29.3801,      17      -5.7968
      18     -14.0682,      18      29.7756,      18     -31.3510,      18      24.7124,      18      -6.8758
      19     -18.8513,      19      32.0072,      19     -34.7477,      19      25.3796,      19      -4.2869
      20     -21.7188,      20      34.8035,      20     -34.1491,      20      19.9063,      20       1.8114
      21     -16.7070,      21      18.4982,      21     -13.1276,      21       4.3996,      21       7.5823
      22     -40.0298,      22      37.3425,      22     -22.1795,      22      -1.1501,      22      26.0589
      23     -22.0539,      23      -1.4122,      23      21.8868,      23     -35.5566,      23      36.4997
      24     -33.4049,      24      22.4739,      24      -5.7026,      24     -13.6244,      24      29.8591
      25     -31.3395,      25      26.0397,      25     -10.6657,      25      -7.4300,      25      24.8393
      26     -24.5890,      26      32.8865,      26     -27.8782,      26      15.3465,      26       5.4851
      27     -33.8961,      27      39.4053,      27     -27.1205,      27       7.4065,      27      18.0344
      28     -27.8462,      28      35.4037,      28     -27.7884,      28      12.5804,      28       9.6594
      29     -15.8791,      29      21.8186,      29     -18.3203,      29      10.1331,      29       3.6424
      30      -4.5370,      30      17.0615,      30     -22.9122,      30      20.1572,      30      -9.8625
      31     -26.1763,      31      35.4392,      31     -28.9901,      31      13.6615,      31       7.8411
      32     -35.5121,      32      42.2186,      32     -35.6784,      32      14.3592,      32      13.1560
      33     -28.3423,      33      42.3156,      33     -38.3814,      33      23.5782,      33       4.1412
      34     -17.7390,      34      32.1852,      34     -31.9292,      34      23.8130,      34      -4.1572
      35     -25.0152,      35      33.9984,      35     -30.4676,      35      18.1337,      35       4.4631
      36     -32.9975,      36      35.0936,      36     -24.2791,      36       5.5494,      36      16.9233
      37     -22.9479,      37      32.0198,      37     -28.6172,      37      16.5251,      37       3.5972
      38     -16.7932,      38      30.2947,      38     -32.5798,      38      26.4745,      38      -7.0017
      39     -14.6093,      39      30.1871,      39     -30.2713,      39      23.0556,      39      -5.6086
      40     -16.2213,      40      27.1912,      40     -29.2209,      40      20.4042,      40      -2.3725
      41     -26.0754,      41      38.8383,      41     -34.9309,      41      21.7818,      41       2.7281
      42     -18.9611,      42      26.0169,      42     -23.0107,      42      11.9088,      42       4.7029
      43     -27.8559,      43      35.9755,      43     -27.1641,      43      12.6943,      43       9.6157
      44     -20.2508,      44      35.7124,      44     -36.2759,      44      23.8224,      44      -2.0730
      45     -32.6004,      45      47.6192,      45     -39.6357,      45      19.3348,      45       8.2750
      46      -9.5900,      46      27.9448,      46     -35.5380,      46      32.3576,      46     -13.8316
      47     -23.0342,      47      38.5035,      47     -37.9681,      47      26.4723,      47      -2.6496
      48     -28.3142,      48      39.5631,      48     -31.4682,      48      17.7029,      48       6.2035
      49     -32.9181,      49      41.5474,      49     -32.6965,      49      14.6975,      49      12.1041
      50     -16.9377,      50      32.4816,      50     -34.4598,      50      25.5283,      50      -6.1491
      51      -7.7174,      51      21.8824,      51     -26.4698,      51      25.1533,      51     -11.1935
      52     -26.3747,      52      34.9253,      52     -29.0374,      52      14.2457,      52       6.9737
      53     -23.5042,      53      32.7019,      53     -30.3827,      53      18.1005,      53       3.6682
      54     -18.4177,      54      33.6997,      54     -37.3274,      54      27.6068,      54      -4.8601
      55     -27.1689,      55      45.3475,      55     -42.4400,      55      32.5444,      55      -3.9258
      56     -13.4176,      56      30.3001,      56     -32.7220,      56      26.7650,      56      -8.1205
      57     -32.8723,      57      41.8223,      57     -34.8135,      57      16.0124,      57       9.7811
      58     -24.0576,      58      35.0706,      58     -27.3713,      58      15.1304,      58       5.6643
