#Frame      Dih_00086,#Frame      Dih_00087,#Frame      Dih_00088,#Frame      Dih_00089,#Frame      Dih_00090
       1      15.0392,       1     -33.3722,       1      37.7698,       1     -27.2666,       1       8.8567
       2      22.9557,       2     -40.4367,       2      37.7650,       2     -26.4924,       2       1.3687
       3      33.2828,       3     -40.9023,       3      31.7248,       3     -15.0467,       3     -10.3885
       4      21.5027,       4     -40.8331,       4      43.4672,       4     -31.5525,       4       5.3109
       5      24.6908,       5     -37.0457,       5      33.0516,       5     -19.1209,       5      -3.6018
       6      26.0870,       6     -39.3090,       6      36.5944,       6     -25.1722,       6      -1.1492
       7      35.9815,       7     -43.9092,       7      38.6299,       7     -20.0114,       7     -10.7507
       8      20.0983,       8     -38.4912,       8      38.0885,       8     -28.4323,       8       5.2909
       9      39.6840,       9     -37.1798,       9      25.5299,       9      -2.9243,       9     -24.5971
      10      24.9238,      10     -31.9080,      10      27.8398,      10     -14.7813,      10      -6.2558
      11      17.3212,      11     -31.8488,      11      34.6107,      11     -24.3086,      11       4.0829
      12      46.3623,      12     -41.5611,      12      27.3756,      12      -0.7789,      12     -29.4377
      13      37.4586,      13     -30.7548,      13      17.6724,      13       3.1135,      13     -26.5848
      14      31.8342,      14     -24.6438,      14       9.3576,      14       9.5590,      14     -25.4939
      15      41.1741,      15     -42.3923,      15      27.6526,      15      -4.0930,      15     -23.8974
      16      34.5202,      16     -38.4418,      16      29.1722,      16      -9.4807,      16     -16.2212
      17       3.9789,      17     -21.2100,      17      27.2512,      17     -25.3955,      17      13.7409
      18      17.3797,      18     -33.0307,      18      35.1088,      18     -24.8175,      18       4.5738
      19      25.4533,      19     -37.5263,      19      34.2932,      19     -21.0517,      19      -3.0100
      20      31.4537,      20     -39.1544,      20      35.1197,      20     -19.6790,      20      -6.4860
      21      30.0096,      21     -40.0684,      21      35.9953,      21     -17.9108,      21      -8.5563
      22       7.8051,      22     -22.6990,      22      26.5091,      22     -22.6883,      22       9.9185
      23      31.4706,      23     -42.7896,      23      34.5148,      23     -16.5060,      23      -8.7336
      24      14.3764,      24     -24.4381,      24      24.3072,      24     -16.3771,      24       0.4134
      25      33.9254,      25     -31.2397,      25      18.7859,      25       2.1382,      25     -24.8168
      26      20.8883,      26     -37.4346,      26      36.1984,      26     -25.6415,      26       3.5169
      27      36.1771,      27     -39.2488,      27      28.8083,      27      -7.8231,      27     -18.3957
      28       8.9679,      28     -22.5787,      28      25.1951,      28     -20.0940,      28       7.4876
      29      22.3239,      29     -34.6466,      29      31.4599,      29     -19.9500,      29      -1.0898
      30       9.8696,      30     -28.3881,      30      33.6711,      30     -28.9885,      30      12.8739
      31      25.4007,      31     -29.3814,      31      22.3937,      31     -10.2967,      31      -8.8047
      32      21.4651,      32     -36.0378,      32      33.9212,      32     -22.9475,      32       1.7867
      33      24.7178,      33     -25.3993,      33      15.8725,      33      -1.4117,      33     -14.8666
      34      30.1856,      34     -28.0246,      34      18.0330,      34      -1.2134,      34     -18.9969
      35      32.3106,      35     -35.5633,      35      25.1133,      35      -7.6463,      35     -14.6266
      36      38.3783,      36     -39.2163,      36      24.6792,      36      -4.1813,      36     -20.4347
      37      26.0068,      37     -39.6037,      37      38.1519,      37     -23.7247,      37       0.3227
      38       9.7432,      38     -28.0413,      38      35.0476,      38     -31.3317,      38      12.4064
      39      30.1690,      39     -39.2445,      39      31.8312,      39     -17.9538,      39      -7.6327
      40      30.1101,      40     -43.4682,      40      37.8623,      40     -21.7579,      40      -5.5987
      41      21.7271,      41     -28.3343,      41      26.5816,      41     -14.5678,      41      -4.7226
      42      29.3019,      42     -36.1722,      42      29.6703,      42     -13.3515,      42     -10.3382
      43       8.5530,      43     -18.7464,      43      19.3539,      43     -16.0769,      43       4.9722
      44      23.3429,      44     -33.7937,      44      27.9722,      44     -14.7491,      44      -6.3904
      45       2.9726,      45     -21.4578,      45      31.2226,      45     -32.1112,      45      18.0662
      46      16.4915,      46     -36.3670,      46      39.8522,      46     -31.3349,      46       9.7255
      47       6.2909,      47     -27.7408,      47      35.9966,      47     -32.5666,      47      17.5481
      48       3.9405,      48     -29.5171,      48      39.4180,      48     -41.2946,      48      24.2901
      49       7.7675,      49     -30.3945,      49      42.9421,      49     -41.1853,      49      20.1186
      50       6.1574,      50     -28.9439,      50      38.3276,      50     -39.0089,      50      21.4032
      51      -0.3908,      51     -28.2575,      51      46.2489,      51     -47.9396,      51      29.2575
      52      18.9602,      52     -37.8564,      52      41.3893,      52     -30.4964,      52       8.2172
      53      21.0101,      53     -40.6027,      53      40.6808,      53     -27.7887,      53       4.2231
      54       7.8653,      54     -29.6509,      54      40.1696,      54     -34.5864,      54      16.7889
      55      19.6977,      55     -40.5938,      55      42.5917,      55     -32.8671,      55       8.6844
      56      10.7269,      56     -29.7364,      56      37.8841,      56     -32.4293,      56      13.4995
      57      22.2331,      57     -36.8834,      57      36.4865,      57     -22.9921,      57       0.1819
      58      19.7885,      58     -36.2053,      58      37.2479,      58     -24.6509,      58       4.0802
      59      20.4988,      59     -31.0242,      59      29.7274,      59     -19.3365,      59      -1.1550
      60      28.5732,      60     -41.7779,      60      37.5071,      60     -22.3840,      60      -3.3858
      61      39.2604,      61     -40.8117,      61      26.4349,      61      -5.0936,      61     -21.2604
      62      29.2433,      62     -47.1688,      62      45.0546,      62     -26.9662,      62      -1.9506
      63      30.8881,      63     -36.9309,      63      29.5620,      63     -12.4350,      63     -12.2316
      64      38.3030,      64     -42.9865,      64      38.6131,      64     -16.6965,      64     -14.0297
      65      13.7010,      65     -34.3881,      65      41.1399,      65     -33.4683,      65      12.8058
      66       6.5009,      66     -26.2510,      66      35.3128,      66     -34.5597,      66      17.6120
      67      24.7305,      67     -36.4116,      67      31.5022,      67     -19.9781,      67      -3.0058
      68      27.8907,      68     -40.2819,      68      34.7520,      68     -21.0906,      68      -4.2046
      69      31.1887,      69     -44.4986,      69      40.7520,      69     -23.4509,      69      -4.8049
      70      22.7191,      70     -34.6548,      70      34.3700,      70     -22.1514,      70      -1.6020
      71      22.7698,      71     -39.3561,      71      38.8967,      71     -28.2072,      71       3.6479
      72      20.0306,      72     -34.2125,      72      34.3668,      72     -23.4313,      72       2.0199
      73      32.3473,      73     -41.2379,      73      35.9582,      73     -19.1648,      73      -8.1382
      74      29.9906,      74     -42.9624,      74      37.0448,      74     -22.4090,      74      -4.1021
      75      30.8918,      75     -33.4399,      75      24.4776,      75      -5.9785,      75     -15.2080
      76      22.8060,      76     -36.9711,      76      37.1405,      76     -24.6048,      76       1.0035
      77       1.9266,      77     -23.5505,      77      37.4093,      77     -37.6342,      77      22.4673
      78       5.6422,      78     -30.3901,      78      43.0380,      78     -43.0482,      78      22.8410
      79      -7.6621,      79     -21.6224,      79      39.7417,      79     -42.7820,      79      32.9759
      80       5.2272,      80     -24.7940,      80      30.3485,      80     -28.7732,      80      16.2752
      81      -3.0625,      81     -28.9918,      81      44.8055,      81     -48.6875,      81      34.2491
      82      -2.2745,      82     -20.4918,      82      32.1158,      82     -36.2768,      82      23.9153
      83     -21.6673,      83      -3.8566,      83      25.1789,      83     -38.4859,      83      37.6792
      84      12.2824,      84     -36.5711,      84      45.6583,      84     -36.8553,      84      16.5088
      85       1.0452,      85     -25.2054,      85      37.4785,      85     -38.8472,      85      24.4740
      86       6.2264,      86     -30.5007,      86      39.4781,      86     -39.2176,      86      21.3623
      87       9.9888,      87     -27.9991,      87      36.0615,      87     -29.8639,      87      12.7200
      88      19.0143,      88     -31.4183,      88      30.1714,      88     -18.9952,      88      -0.1020
      89      15.7792,      89     -32.5647,      89      34.6753,      89     -27.6673,      89       7.7391
      90       6.5868,      90     -23.8366,      90      30.6521,      90     -28.0166,      90      14.6746
      91      34.3795,      91     -37.9135,      91      28.4555,      91      -8.9858,      91     -15.9711
      92      15.1437,      92     -27.0717,      92      27.3239,      92     -19.8387,      92       3.3683
      93      30.5164,      93     -44.4589,      93      41.7474,      93     -23.6758,      93      -4.8287
      94       9.3695,      94     -32.4953,      94      37.9679,      94     -32.5608,      94      15.9934
      95      26.0962,      95     -33.9072,      95      31.7060,      95     -15.9219,      95      -5.9694
      96      24.5108,      96     -33.8960,      96      32.1296,      96     -18.5948,      96      -3.6019
      97      20.8239,      97     -29.7714,      97      27.6330,      97     -17.0188,      97      -2.8243
      98      41.8845,      98     -44.3240,      98      29.2476,      98      -5.2819,      98     -23.9222
      99      30.0520,      99     -38.9503,      99      33.7755,      99     -17.9620,      99      -7.8836
     100      19.4794,     100     -38.4300,     100      41.7090,     100     -32.6775,     100       8.4538
     101      23.3550,     101     -32.6337,     101      28.6123,     101     -16.4260,     101      -4.2087
     102       0.5799,     102     -17.7341,     102      25.3512,     102     -26.9916,     102      17.6627
     103      26.6814,     103     -37.4930,     103      36.0297,     103     -22.6998,     103      -2.2195
     104      26.1293,     104     -32.8846,     104      31.1234,     104     -15.4496,     104      -6.5897
     105      25.0170,     105     -28.3491,     105      20.5809,     105      -6.3429,     105     -12.1458
     106      27.7310,     106     -42.9151,     106      41.6944,     106     -26.4236,     106      -0.8149
     107      23.1054,     107     -36.0602,     107      33.7144,     107     -21.6297,     107      -1.0461
     108      24.6941,     108     -39.6026,     108      38.2449,     108     -25.6658,     108       0.6129
     109      22.4285,     109     -35.8909,     109      37.9040,     109     -26.4961,     109       1.8942
     110      35.1578,     110     -42.1087,     110      36.2110,     110     -16.7411,     110     -12.4095
     111      42.0819,     111     -39.8621,     111      22.5725,     111       3.2215,     111     -28.4075
     112      37.3184,     112     -25.2827,     112       6.8443,     112      13.3976,     112     -30.9913
     113      30.6123,     113     -29.4032,     113      17.6609,     113       0.8177,     113     -20.6135
     114      39.3264,     114     -44.6579,     114      31.3494,     114      -7.3437,     114     -21.0683
     115      42.2183,     115     -39.8420,     115      23.3248,     115      -0.4912,     115     -24.7577
     116      33.9538,     116     -24.5233,     116       8.4900,     116      10.6845,     116     -29.6194
     117      22.1207,     117     -37.4636,     117      36.1588,     117     -25.5015,     117       1.7010
     118       2.4865,     118     -19.1383,     118      27.4343,     118     -26.5691,     118      15.0373
     119      34.9052,     119     -43.2884,     119      35.0957,     119     -17.1570,     119     -10.3112
     120      36.5393,     120     -34.3645,     120      22.9986,     120      -2.9472,     120     -21.1025
     121       7.2536,     121     -27.2371,     121      34.7468,     121     -31.5856,     121      15.8244
     122      29.0805,     122     -34.4253,     122      27.4622,     122     -10.9116,     122     -11.9062
     123      40.6528,     123     -35.1791,     123      19.9622,     123       4.2804,     123     -29.3952
     124      26.4889,     124     -28.4670,     124      23.0464,     124      -9.1443,     124     -11.1687
     125      19.2642,     125     -26.4155,     125      25.1963,     125     -13.2975,     125      -3.7255
     126      29.5146,     126     -31.8417,     126      23.0221,     126      -5.8959,     126     -14.2773
     127      -4.3771,     127     -10.5591,     127      20.4323,     127     -23.7497,     127      17.1296
     128      10.9711,     128     -24.8417,     128      28.0059,     128     -22.5341,     128       7.0411
     129      -0.9920,     129     -21.4275,     129      33.1989,     129     -32.3525,     129      23.4146
     130      11.5386,     130     -32.0136,     130      38.6128,     130     -32.6809,     130      13.6388
     131      48.1541,     131     -46.6238,     131      31.1077,     131      -2.3508,     131     -30.0952
     132      23.2527,     132     -35.2204,     132      33.4299,     132     -18.7060,     132      -3.1067
     133      15.3720,     133     -30.7795,     133      32.5682,     133     -26.2048,     133       7.4425
     134      21.1552,     134     -37.8281,     134      40.9516,     134     -29.8013,     134       5.3625
     135      17.7884,     135     -33.6727,     135      32.1556,     135     -25.3736,     135       5.0810
     136      16.1044,     136     -28.9229,     136      30.6293,     136     -22.2316,     136       4.4073
     137      25.2249,     137     -43.1397,     137      41.0014,     137     -26.5300,     137       1.0798
     138      34.1282,     138     -36.4426,     138      25.5035,     138      -5.6978,     138     -19.7055
     139      15.2806,     139     -30.4118,     139      33.9773,     139     -27.0610,     139       6.8351
     140      17.9414,     140     -33.9751,     140      37.5597,     140     -28.2365,     140       6.8525
     141      17.5612,     141     -32.2836,     141      32.5214,     141     -23.1122,     141       3.8064
     142      18.2188,     142     -32.9300,     142      32.8101,     142     -23.8763,     142       3.7555
     143      12.1558,     143     -30.7794,     143      35.4644,     143     -28.2930,     143      10.3462
     144      -5.5563,     144     -15.5971,     144      30.3919,     144     -33.6168,     144      23.6104
     145      32.6039,     145     -43.0389,     145      36.2980,     145     -19.9395,     145      -7.9836
     146      19.1157,     146     -30.4862,     146      30.4025,     146     -20.4822,     146       1.1443
     147      26.7462,     147     -38.0691,     147      35.3698,     147     -19.4507,     147      -4.5753
     148      26.7982,     148     -29.1249,     148      20.3902,     148      -4.6274,     148     -13.7155
     149      35.6872,     149     -40.2300,     149      28.5684,     149      -8.3305,     149     -18.2877
     150      -9.3573,     150     -14.5221,     150      32.3828,     150     -38.3857,     150      29.7390
     151      31.8431,     151     -37.1150,     151      27.8601,     151     -11.7869,     151     -12.0656
     152       5.9669,     152     -20.4411,     152      27.1367,     152     -24.8787,     152      12.7443
     153      27.8883,     153     -29.2008,     153      21.0709,     153      -5.9737,     153     -13.1360
     154      31.4434,     154     -32.3854,     154      22.9737,     154      -4.0855,     154     -17.3620
     155      41.1980,     155     -46.0536,     155      32.1130,     155      -9.8499,     155     -19.4396
     156      11.3252,     156     -31.3197,     156      36.5869,     156     -33.4066,     156      13.7870
     157      13.2793,     157     -32.8611,     157      37.9100,     157     -32.3776,     157      12.9470
     158       8.9539,     158     -28.5275,     158      35.9429,     158     -35.3940,     158      16.3186
     159      17.7676,     159     -30.1986,     159      30.5214,     159     -21.7272,     159       2.4270
     160      10.4740,     160     -30.4622,     160      36.3795,     160     -32.1714,     160      15.1629
     161      19.9034,     161     -32.0597,     161      29.6569,     161     -19.4491,     161       0.5990
     162      12.7570,     162     -26.1234,     162      28.2743,     162     -21.3795,     162       5.9949
     163      15.1276,     163     -38.8260,     163      43.7955,     163     -38.6457,     163      15.7426
     164      26.4611,     164     -39.7103,     164      39.6549,     164     -25.2897,     164       0.0027
     165       0.1192,     165     -22.5554,     165      34.0976,     165     -37.3416,     165      23.4976
     166       5.1932,     166     -27.8765,     166      39.5230,     166     -36.5364,     166      20.0259
     167      13.4988,     167     -30.2967,     167      34.1488,     167     -27.3062,     167       8.3591
     168       0.0521,     168     -28.1681,     168      45.4046,     168     -45.9359,     168      29.9558
     169       5.2174,     169     -22.3842,     169      28.0267,     169     -26.2018,     169      15.4705
     170       5.1305,     170     -27.0372,     170      38.4142,     170     -36.2808,     170      19.1869
     171      22.4244,     171     -40.8064,     171      42.4535,     171     -31.1507,     171       6.3258
     172      11.7253,     172     -35.7784,     172      44.3550,     172     -39.4076,     172      19.0352
