#Frame      Dih_00091 Dih_00092 Dih_00093 Dih_00094 Dih_00095
     105       7.5606 14.5956 -29.6159 33.7658 -26.7144
     106     -30.9579 40.4334 -33.1887 16.5499 7.9559
     107     -29.1781 44.3026 -44.2776 30.0238 -2.3784
     108     -10.1588 26.1339 -31.9249 28.2830 -11.2435
     109     -39.3162 37.7804 -26.5412 7.3712 19.3404
     110     -10.8992 28.4703 -32.1098 26.0252 -10.7367
     111     -32.7830 45.1060 -33.9917 14.6518 10.7829
     112     -21.0978 29.7431 -26.6149 15.4512 2.8368
     113     -21.2116 29.1321 -27.8745 16.8675 2.3070
     114      -6.3726 23.2057 -28.5296 28.1398 -13.4759
     115      -3.5610 22.0254 -28.7692 31.1625 -16.9888
     116      10.2483 11.0027 -26.1517 31.9932 -28.2287
     117      -7.5738 31.6200 -41.5333 40.1708 -19.9452
     118     -18.2455 36.2488 -40.6101 29.8905 -8.5186
     119      -2.0429 23.7669 -38.5384 36.0878 -21.5662
     120       5.6987 14.1635 -27.7445 31.7979 -23.6019
     121      -6.5944 28.9925 -38.7406 36.9260 -19.2273
     122     -20.1649 36.3492 -37.2973 27.9714 -4.2901
     123     -34.7909 34.3230 -21.4541 3.4063 19.2400
     124     -16.0495 27.7174 -26.5225 19.4061 -2.3522
     125     -25.1473 37.6658 -33.5472 18.6220 4.0904
     126     -23.8245 33.4179 -27.7401 15.2300 4.7539
     127     -24.3391 29.7993 -21.2840 7.8375 10.0734
     128     -26.6765 40.1604 -36.3055 21.6407 2.0224
     129     -23.0102 38.5442 -40.6110 24.8216 -1.6727
     130      -6.6042 28.4817 -38.1299 32.9989 -17.7791
     131     -19.8975 35.8087 -37.8373 27.4537 -5.4344
     132     -19.3283 34.5542 -33.9831 26.7181 -5.2875
     133     -17.1767 30.7573 -30.4613 22.1748 -3.0429
     134     -18.1120 32.8823 -34.6575 25.1728 -4.3308
     135     -15.0758 28.9611 -31.2876 25.2914 -6.3696
     136       1.1665 20.7797 -32.7529 33.0341 -22.3493
     137     -10.6460 21.9300 -23.1508 18.6681 -5.0547
     138      -6.0930 26.2902 -33.0366 30.0928 -16.8479
     139     -16.5282 29.3046 -29.7598 22.4492 -4.2273
     140     -21.7568 31.0362 -28.6475 17.6548 2.0535
     141     -22.7840 35.1083 -34.9435 21.9002 0.8489
     142     -38.4098 31.9094 -16.2087 -5.1227 26.7416
     143     -12.2576 25.0327 -25.7280 19.3396 -5.3641
     144     -14.6289 33.6011 -37.9041 32.3677 -11.7365
