#Frame      Dih_00146 Dih_00147 Dih_00148 Dih_00149 Dih_00150
     104     -47.0369 46.6503 -29.2121 2.8491 28.4549
     105     -36.7553 40.3133 -27.8939 7.3784 18.9194
     106     -36.0867 42.5850 -35.4118 15.3972 13.5096
     107     -36.8141 42.2236 -30.5671 9.6348 17.5177
     108     -36.4003 42.8729 -31.7146 9.5625 18.2132
     109     -50.0094 32.9999 -6.0476 -22.8229 46.8423
     110     -29.2191 37.1133 -30.1726 15.2871 8.5441
     111     -49.0286 35.8425 -11.0444 -16.9650 42.0406
     112     -28.2513 38.5611 -31.9562 15.5756 8.3809
     113     -27.0408 39.9868 -35.5015 19.9207 3.9647
     114     -22.2613 34.8655 -35.5664 22.3538 0.0002
     115     -32.4023 37.5937 -28.9767 12.4021 10.7190
     116     -29.2048 28.3292 -16.7419 0.6563 19.3003
     117     -32.5640 43.8686 -36.4503 19.5305 7.8467
     118     -39.6624 27.4823 -4.7371 -20.6328 39.5471
     119     -24.9475 26.2943 -16.8241 3.3004 13.5495
     120     -19.9344 32.8418 -31.5236 20.6462 -0.0513
     121     -18.4086 36.1060 -39.0761 29.8214 -8.5347
     122     -27.4320 24.9543 -14.6625 -1.8735 18.0408
     123     -26.3004 23.3709 -12.0166 -1.6781 16.7766
     124     -19.7851 29.7039 -27.7576 16.8977 1.1687
     125     -26.4433 27.1786 -18.8351 3.0953 15.2700
     126     -31.7550 35.5023 -27.4409 9.1101 14.7122
     127     -20.2215 34.5397 -33.8081 24.5850 -2.3783
     128     -27.9294 31.3603 -21.8334 5.9105 13.4720
     129      -8.5708 28.2272 -37.8284 34.7745 -15.2686
     130     -18.5226 31.6471 -31.4103 21.7641 -2.5034
     131     -32.2533 38.2264 -27.2740 7.7116 16.6852
     132     -32.1156 42.4734 -37.6195 20.4165 6.5744
     133     -27.0705 29.8446 -22.2814 7.7013 11.4073
     134     -26.1678 37.4839 -30.0393 17.7893 4.8320
     135     -23.3033 30.5321 -25.0420 12.8855 5.6103
     136     -34.4745 36.0558 -24.7150 7.4660 15.4652
     137      -4.8295 24.4049 -30.4060 29.7832 -16.3899
     138     -18.1649 27.7179 -26.3986 16.8148 0.9594
     139     -26.6653 31.3965 -23.9479 8.9357 11.0179
     140      -8.9240 22.5384 -26.0455 21.7952 -9.1936
     141      -5.4323 27.9694 -34.7152 32.3382 -18.0933
     142      -0.1758 24.7039 -37.5688 37.1780 -23.8993
     143      -9.8912 31.4695 -36.1062 33.6785 -15.2071
     144     -26.8167 34.9216 -31.2955 16.9493 6.2743
