#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
      74       3.0463,      74     -25.0022,      74      36.2742,      74     -33.8221,      74      19.3268
      75      11.7046,      75     -33.6238,      75      38.7881,      75     -36.1324,      75      15.3744
      76       1.5095,      76     -19.7194,      76      26.8774,      76     -28.6690,      76      18.3129
      77      -3.4053,      77     -12.4714,      77      22.2482,      77     -23.7552,      77      17.4576
      78       6.1584,      78     -23.7652,      78      32.5023,      78     -27.8917,      78      14.1586
      79      -3.0298,      79     -25.7726,      79      40.5739,      79     -43.1549,      79      29.4688
      80      -3.3304,      80     -19.2042,      80      33.7427,      80     -36.0581,      80      24.3045
      81     -12.5825,      81     -12.0073,      81      29.2271,      81     -37.8978,      81      32.4110
      82       3.8332,      82     -28.7696,      82      38.9103,      82     -36.8474,      82      22.7199
      83       9.1588,      83     -27.9568,      83      37.2049,      83     -33.7887,      83      13.9910
      84     -24.0837,      84       0.8599,      84      21.0152,      84     -36.8263,      84      38.4835
      85     -10.4491,      85     -13.7367,      85      30.0789,      85     -37.5117,      85      31.8136
      86      -3.6191,      86     -22.7581,      86      37.7119,      86     -41.7530,      86      29.4272
      87      -9.9046,      87      -3.4873,      87      14.3525,      87     -20.7420,      87      19.2209
      88     -14.9363,      88      -6.2861,      88      23.3127,      88     -33.6267,      88      30.8089
      89     -35.8350,      89      13.3775,      89      12.0974,      89     -32.7101,      89      41.3471
      90      -6.3016,      90     -11.0362,      90      21.4624,      90     -26.0912,      90      20.8435
      91     -10.0252,      91      -3.0830,      91      13.9280,      91     -20.8531,      91      18.8070
      92     -27.0459,      92      10.6416,      92       9.0339,      92     -26.9247,      92      34.6967
      93     -35.6860,      93      18.3193,      93       3.5732,      93     -23.7409,      93      38.1687
      94     -34.2031,      94      10.1574,      94      15.1027,      94     -36.6380,      94      43.8810
      95     -10.7483,      95     -14.3171,      95      32.0817,      95     -40.5392,      95      32.1312
      96      -9.3709,      96     -11.1684,      96      24.6787,      96     -31.8724,      96      25.7450
      97     -22.6999,      97       5.9712,      97      11.6492,      97     -25.4287,      97      30.8051
      98     -24.2367,      98       5.3580,      98      13.2907,      98     -28.7188,      98      31.4098
      99     -20.4213,      99      -1.6049,      99      21.1440,      99     -34.5949,      99      34.9064
     100      -8.2781,     100     -12.1683,     100      25.5272,     100     -31.8314,     100      25.0047
     101       2.8328,     101     -21.2452,     101      30.6554,     101     -30.5999,     101      17.7024
     102     -15.0626,     102     -11.8973,     102      32.7562,     102     -42.7599,     102      35.5859
     103     -29.0688,     103       2.9365,     103      20.8587,     103     -37.7012,     103      42.9821
     104      -0.5759,     104     -20.7201,     104      32.6410,     104     -32.0097,     104      21.7792
     105     -18.4301,     105     -10.5772,     105      32.5548,     105     -47.1396,     105      40.6408
     106     -27.5989,     106       3.3798,     106      20.0401,     106     -36.6978,     106      38.2829
     107     -30.0271,     107       2.1224,     107      23.5880,     107     -40.3347,     107      44.0729
     108     -20.9420,     108      -2.7579,     108      22.1050,     108     -34.6617,     108      36.8725
     109     -13.3652,     109      -6.8837,     109      23.8669,     109     -33.0090,     109      28.9066
     110      -5.6187,     110     -13.8079,     110      27.0408,     110     -33.4751,     110      24.7565
     111      -9.5204,     111     -15.8090,     111      31.7748,     111     -40.4376,     111      31.1291
     112     -15.1760,     112     -13.1150,     112      31.7283,     112     -43.6972,     112      36.1488
     113      -4.3432,     113     -15.6773,     113      28.9973,     113     -32.9434,     113      23.8457
