#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
      75      -6.7437,      75     -12.8046,      75      25.3588,      75     -31.3425,      75      24.0907
      76     -32.6203,      76      -0.1547,      76      27.3924,      76     -47.2150,      76      50.9531
      77     -29.4636,      77       3.4169,      77      20.0239,      77     -36.7797,      77      42.9780
      78     -15.3890,      78     -12.0427,      78      34.9024,      78     -46.4696,      78      39.6841
      79      -2.8657,      79     -20.2623,      79      33.3590,      79     -34.6283,      79      23.2313
      80      -5.9690,      80     -16.6827,      80      31.4114,      80     -35.9991,      80      27.0489
      81     -31.4508,      81       3.7731,      81      20.9929,      81     -40.8012,      81      45.6628
      82     -23.1360,      82       4.8812,      82      13.1901,      82     -27.8184,      82      32.0664
      83     -22.8167,      83      -0.2626,      83      20.3161,      83     -35.5347,      83      37.4424
      84     -23.8341,      84       7.1591,      84      11.4471,      84     -25.4084,      84      32.2296
      85     -34.9876,      85      19.3212,      85       2.2079,      85     -23.8321,      85      38.3375
      86     -33.1785,      86      11.4119,      86      13.2006,      86     -33.0267,      86      41.2457
      87     -33.0771,      87      12.9428,      87      10.1027,      87     -30.1535,      87      42.1604
      88     -25.0386,      88       2.0571,      88      19.5211,      88     -35.8173,      88      38.6451
      89     -39.6984,      89      17.7146,      89       9.3509,      89     -33.0343,      89      45.2579
      90     -23.2343,      90       5.3391,      90      11.9780,      90     -25.2990,      90      32.0841
      91     -22.5760,      91      -6.4127,      91      31.0604,      91     -44.6975,      91      41.7426
      92     -23.6154,      92      -3.5902,      92      26.8180,      92     -45.3855,      92      45.5079
      93      -6.1485,      93     -24.5624,      93      42.9193,      93     -49.8682,      93      35.0826
      94     -14.0374,      94     -14.4984,      94      33.5950,      94     -43.7398,      94      36.7057
      95     -10.8784,      95     -12.9018,      95      30.7513,      95     -37.4663,      95      31.8727
      96     -28.1433,      96      28.6023,      96     -17.9616,      96       2.2548,      96      15.6927
      97     -30.7158,      97      41.1210,      97     -32.5893,      97      16.1470,      97       9.0128
