#Frame      Dih_00021 Dih_00022 Dih_00023 Dih_00024 Dih_00025
     105     -25.1114 38.7543 -36.2413 22.7442 0.9095
     106     -35.4740 44.7792 -37.4929 18.4182 10.2607
     107     -27.7129 41.2006 -37.8560 22.2633 3.6804
     108     -18.3774 25.8150 -22.4149 13.2040 3.5515
     109     -15.3743 35.6211 -40.7126 33.7450 -11.3166
     110     -19.2228 31.4132 -29.8783 20.3069 -1.1692
     111     -19.9448 35.0386 -36.8233 26.2234 -3.7504
     112     -16.4646 33.8344 -37.3643 29.0082 -8.9094
     113     -39.6679 46.5558 -36.2224 13.9395 16.6394
     114     -19.3263 35.9427 -38.0473 27.9959 -6.0201
     115     -21.9143 34.2293 -30.4408 19.1864 2.3790
     116     -32.2494 35.6211 -25.2030 7.9655 14.2727
     117     -25.4109 41.9885 -38.8069 27.6616 -1.6105
     118     -16.2406 33.1732 -36.3652 28.0299 -8.3461
     119     -35.5040 38.2520 -27.4592 7.3062 18.3387
     120     -29.8217 27.7245 -16.7977 0.3017 18.3218
     121     -16.8200 31.5046 -30.9182 22.5397 -3.8432
     122      -0.4579 21.7803 -32.5489 33.5592 -21.4965
     123     -17.8813 31.6643 -31.6212 23.2701 -3.3537
     124     -22.7400 37.7536 -36.1962 25.3629 -1.3290
     125     -16.1562 24.2223 -22.0894 13.3173 1.2571
     126     -18.0859 31.8553 -32.7251 22.4279 -3.2567
     127     -12.1398 20.6791 -22.0410 15.5949 -1.9920
     128     -33.5409 39.8704 -31.1894 12.0810 13.9094
     129     -28.2236 36.0514 -29.4852 12.8784 9.2347
     130     -40.9651 37.6931 -18.2470 -4.0819 27.2050
     131     -37.9457 43.1703 -31.1534 7.1968 20.9179
     132     -43.3444 30.0053 -6.3118 -20.0832 39.6854
     133     -40.5206 32.4985 -10.0306 -14.7206 34.5098
     134     -30.8248 29.7082 -16.5615 -2.4587 21.2884
     135     -39.9865 24.3011 -0.5823 -22.0139 40.4097
     136     -35.0738 17.2592 6.3303 -27.4031 36.6670
     137     -38.4635 34.5773 -16.1351 -5.7224 28.7039
     138     -33.2099 34.9738 -23.9087 4.0449 19.0042
